Initial time: 16197297781619729778 ; 0 ; 2 ; 98559 ; 140663448549120; -1 ; IWANT
1619729779 ; 79 ; 8 ; 98559 ; 140662785525504; -1 ; IWANT
1619729779 ; 80 ; 6 ; 98559 ; 140662777132800; -1 ; IWANT
1619729779 ; 81 ; 7 ; 98559 ; 140662768740096; -1 ; IWANT
1619729779 ; 82 ; 3 ; 98559 ; 140662760347392; -1 ; IWANT
1619729779 ; 83 ; 8 ; 98559 ; 140662751954688; -1 ; IWANT
1619729779 ; 84 ; 7 ; 98559 ; 140662743561984; -1 ; IWANT
1619729779 ; 85 ; 9 ; 98559 ; 140662735169280; -1 ; IWANT
1619729779 ; 86 ; 1 ; 98559 ; 140662726776576; -1 ; IWANT
1619729779 ; 87 ; 6 ; 98559 ; 140662718383872; -1 ; IWANT
1619729779 ; 88 ; 4 ; 98559 ; 140662709991168; -1 ; IWANT
1619729779 ; 89 ; 6 ; 98559 ; 140662701598464; -1 ; IWANT
1619729779 ; 90 ; 7 ; 98559 ; 140662693205760; -1 ; IWANT
1619729779 ; 91 ; 5 ; 98559 ; 140662684813056; -1 ; IWANT
1619729779 ; 92 ; 7 ; 98559 ; 140662676420352; -1 ; IWANT
1619729779 ; 93 ; 1 ; 98559 ; 140662668027648; -1 ; IWANT
1619729779 ; 94 ; 6 ; 98559 ; 140662659634944; -1 ; IWANT
1619729779 ; 95 ; 8 ; 98559 ; 140662651242240; -1 ; IWANT
1619729779 ; 96 ; 3 ; 98559 ; 140662642849536; -1 ; IWANT
1619729779 ; 97 ; 3 ; 98559 ; 140662634456832; -1 ; IWANT
1619729779 ; 98 ; 3 ; 98559 ; 140662626064128; -1 ; IWANT
1619729779 ; 99 ; 1 ; 98559 ; 140662617671424; -1 ; IWANT
1619729779 ; 100 ; 5 ; 98559 ; 140662609278720; -1 ; IWANT
1619729779 ; 101 ; 7 ; 98559 ; 140662600886016; -1 ; IWANT
1619729779 ; 102 ; 5 ; 98559 ; 140662592493312; -1 ; IWANT
1619729779 ; 103 ; 3 ; 98559 ; 140662584100608; -1 ; IWANT
1619729779 ; 104 ; 2 ; 98559 ; 140662575707904; -1 ; IWANT
1619729779 ; 105 ; 5 ; 98559 ; 140662567315200; -1 ; IWANT
1619729779 ; 106 ; 5 ; 98559 ; 140662558922496; -1 ; IWANT
1619729779 ; 107 ; 8 ; 98559 ; 140662550529792; -1 ; IWANT
