Initial time: 16216367181621636718 ; 0 ; 2 ; 14029 ; 139725960140544; -1 ; RECVD
1621636718 ; 28 ; 5 ; 14029 ; 139725302109952; -1 ; RECVD
1621636718 ; 22 ; 8 ; 14029 ; 139725352466176; 260 ; TSKEX
1621636718 ; 22 ; 8 ; 14029 ; 139725352466176; 260 ; TSKDN
1621636718 ; 29 ; 9 ; 14029 ; 139725293717248; -1 ; RECVD
1621636718 ; 25 ; 5 ; 14029 ; 139725327288064; 270 ; TSKEX
1621636718 ; 25 ; 5 ; 14029 ; 139725327288064; 270 ; TSKDN
1621636718 ; 30 ; 1 ; 14029 ; 139725285324544; -1 ; RECVD
1621636718 ; 30 ; 1 ; 14029 ; 139725285324544; 280 ; TSKEX
1621636718 ; 30 ; 1 ; 14029 ; 139725285324544; 280 ; TSKDN
1621636718 ; 31 ; 5 ; 14029 ; 139725276931840; -1 ; RECVD
1621636718 ; 28 ; 5 ; 14029 ; 139725302109952; 290 ; TSKEX
1621636718 ; 28 ; 5 ; 14029 ; 139725302109952; 290 ; TSKDN
1621636718 ; 32 ; 2 ; 14029 ; 139725268539136; -1 ; RECVD
1621636718 ; 33 ; 3 ; 14029 ; 139725260146432; -1 ; RECVD
1621636718 ; 27 ; 8 ; 14029 ; 139725310502656; 300 ; TSKEX
1621636718 ; 27 ; 8 ; 14029 ; 139725310502656; 300 ; TSKDN
1621636718 ; 32 ; 2 ; 14029 ; 139725268539136; 310 ; TSKEX
1621636718 ; 32 ; 2 ; 14029 ; 139725268539136; 310 ; TSKDN
1621636718 ; 34 ; 7 ; 14029 ; 139725251753728; -1 ; RECVD
1621636718 ; 31 ; 5 ; 14029 ; 139725276931840; 320 ; TSKEX
1621636718 ; 31 ; 5 ; 14029 ; 139725276931840; 320 ; TSKDN
1621636718 ; 33 ; 3 ; 14029 ; 139725260146432; 330 ; TSKEX
1621636718 ; 33 ; 3 ; 14029 ; 139725260146432; 330 ; TSKDN
1621636718 ; 35 ; 9 ; 14029 ; 139725243361024; -1 ; RECVD
1621636718 ; 29 ; 9 ; 14029 ; 139725293717248; 340 ; TSKEX
1621636718 ; 29 ; 9 ; 14029 ; 139725293717248; 340 ; TSKDN
1621636718 ; 36 ; 8 ; 14029 ; 139725234968320; -1 ; RECVD
1621636718 ; 37 ; 3 ; 14029 ; 139725226575616; -1 ; RECVD
1621636718 ; 38 ; 2 ; 14029 ; 139725218182912; -1 ; RECVD
1621636718 ; 34 ; 7 ; 14029 ; 139725251753728; 350 ; TSKEX
1621636718 ; 34 ; 7 ; 14029 ; 139725251753728; 350 ; TSKDN
1621636718 ; 39 ; 1 ; 14029 ; 139725209790208; -1 ; RECVD
1621636718 ; 37 ; 3 ; 14029 ; 139725226575616; 360 ; TSKEX
1621636718 ; 37 ; 3 ; 14029 ; 139725226575616; 360 ; TSKDN
1621636718 ; 38 ; 2 ; 14029 ; 139725218182912; 370 ; TSKEX
1621636718 ; 38 ; 2 ; 14029 ; 139725218182912; 370 ; TSKDN
1621636718 ; 39 ; 1 ; 14029 ; 139725209790208; 380 ; TSKEX
1621636718 ; 39 ; 1 ; 14029 ; 139725209790208; 380 ; TSKDN
1621636718 ; 40 ; 3 ; 14029 ; 139725201397504; -1 ; RECVD
1621636718 ; 35 ; 9 ; 14029 ; 139725243361024; 390 ; TSKEX
1621636718 ; 35 ; 9 ; 14029 ; 139725243361024; 390 ; TSKDN
1621636718 ; 41 ; 3 ; 14029 ; 139725193004800; -1 ; RECVD
1621636718 ; 36 ; 8 ; 14029 ; 139725234968320; 400 ; TSKEX
1621636718 ; 36 ; 8 ; 14029 ; 139725234968320; 400 ; TSKDN
1621636718 ; 40 ; 3 ; 14029 ; 139725201397504; 410 ; TSKEX
1621636718 ; 40 ; 3 ; 14029 ; 139725201397504; 410 ; TSKDN
1621636718 ; 42 ; 9 ; 14029 ; 139725184612096; -1 ; RECVD
1621636718 ; 41 ; 3 ; 14029 ; 139725193004800; 420 ; TSKEX
1621636718 ; 41 ; 3 ; 14029 ; 139725193004800; 420 ; TSKDN
1621636718 ; 43 ; 2 ; 14029 ; 139725176219392; -1 ; RECVD
1621636718 ; 44 ; 6 ; 14029 ; 139725167826688; -1 ; RECVD
1621636718 ; 43 ; 2 ; 14029 ; 139725176219392; 430 ; TSKEX
1621636718 ; 43 ; 2 ; 14029 ; 139725176219392; 430 ; TSKDN
1621636718 ; 45 ; 1 ; 14029 ; 139725159433984; -1 ; RECVD
1621636718 ; 45 ; 1 ; 14029 ; 139725159433984; 440 ; TSKEX
1621636718 ; 45 ; 1 ; 14029 ; 139725159433984; 440 ; TSKDN
1621636718 ; 46 ; 3 ; 14029 ; 139725151041280; -1 ; RECVD
1621636718 ; 47 ; 5 ; 14029 ; 139725142648576; -1 ; RECVD
1621636718 ; 42 ; 9 ; 14029 ; 139725184612096; 450 ; TSKEX
1621636718 ; 42 ; 9 ; 14029 ; 139725184612096; 450 ; TSKDN
1621636718 ; 44 ; 6 ; 14029 ; 139725167826688; 460 ; TSKEX
1621636718 ; 44 ; 6 ; 14029 ; 139725167826688; 460 ; TSKDN
1621636718 ; 48 ; 9 ; 14029 ; 139725134255872; -1 ; RECVD
1621636718 ; 46 ; 3 ; 14029 ; 139725151041280; 470 ; TSKEX
